,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,-0.03478661634040523,0.20573014696960712,-0.169088569919431,-4.9586502448309995,8.554333767228323e-07,0.14673178140973422,0.18240011184122462,alpha088
1D,-0.01688446505887746,0.14416268218675518,-0.11712091369807148,-3.4723931381669746,0.0005410278187762012,0.016141755163710626,-0.10978811781722175,alpha089
1D,0.01515231180626552,0.10518404153148835,0.1440552348592677,,,,,alpha090
1D,0.02635142707627705,0.13133038571074604,0.20064988718083737,,,,,alpha091
1D,0.0016474567769302405,0.1224523492910813,0.013453860105322058,,,,,alpha092
1D,0.014247873544949568,0.14419466231602046,0.09880999279795523,2.8976777981669177,0.0038549492613400237,-0.026664736800333953,-0.18739130715195884,alpha093
1D,-0.0202214786051284,0.1515738981647101,-0.13341003200402235,-3.889537394526133,0.0001082843944850421,0.06634440789137476,-0.07661367758607396,alpha094
1D,-0.038578880932136114,0.15360863789990895,-0.25115046562208326,-7.369458259944545,4.0215834801973257e-13,0.08914879694626739,-0.25316448719699425,alpha095
1D,-0.017595609200708334,0.17238331254062042,-0.10207257849603106,-3.0141671215913672,0.0026515404169749914,-0.047825767677120934,0.1266653291027109,alpha096
1D,-0.03877312731668176,0.15607510759667526,-0.24842608096659557,-7.3317266670649355,5.196800502454274e-13,0.06489499280986627,-0.32654316567914554,alpha097
1D,0.022477091645712353,0.1107032857369338,0.2030390651558895,,,,,alpha099
1D,-0.03733124226325685,0.15598168107692867,-0.23933093941233674,-7.022640248521409,4.422761314936489e-12,0.05062029695434606,-0.35664724752269006,alpha100
1D,-0.021973517786846412,0.13916191635961261,-0.15789893069641242,-4.678713444167301,3.3422262955049546e-06,-0.06332780772072959,0.08374566803933936,alpha102
1D,3.7840503914923125e-05,0.13044878669439047,0.0002900793857406597,0.008511741835680587,0.9932106686332384,0.13435923548528744,-0.11256185869969082,alpha104
1D,-0.01891938642949133,0.14403062239768252,-0.13135669425390017,-3.8521344431066833,0.00012580068775881474,0.00812920648121791,0.024432970305470647,alpha106
1D,0.010183539384470345,0.12132733325658417,0.08393442030852274,2.488482167127564,0.01301333241334941,-0.18026570466028805,0.19990521852452492,alpha107
1D,0.010451241919619264,0.12626789731397162,0.08277038061093006,,,,,alpha108
1D,-0.02358482810597736,0.1584322994854407,-0.14886376188805311,-4.413503011378144,1.1436286258408755e-05,-0.042190089765998334,-0.1848758685711145,alpha109
1D,-0.04455420193848138,0.16832641715076901,-0.26468930244368255,-7.762214057354121,2.3689161896261194e-14,0.13344510975211754,-0.18075918700201798,alpha110
1D,0.014994648731718853,0.15529637469285126,0.09655504683464514,2.862657671441422,0.004300985534743512,0.1265553155654332,-0.08054803892926765,alpha111
1D,-0.04259846151195184,0.1612384629265138,-0.2641954080855171,-7.783682769179031,2.003154864689412e-14,0.10542589774319672,0.08911183603250006,alpha112
1D,0.013119461372769654,0.12537757757030293,0.10463961441122263,3.0614911827301934,0.002271263099591459,0.03553413272905611,0.09220086974289332,alpha113
1D,0.01823087027929122,0.1411780012515924,0.12913393104922985,3.8176498081346595,0.00014424620582567102,0.11283245109004116,0.21596209506580522,alpha114
1D,0.01365581259152342,0.11987062604047732,0.11392125863188696,3.350524733613586,0.000841556328374964,-0.030371320154708854,-0.05424240919150458,alpha115
1D,-0.017973844046813833,0.14398134466324297,-0.1248345338686254,-3.662994947932032,0.0002645283894338262,0.04944123540269206,-0.20092178039780562,alpha116
1D,-0.035594245846288834,0.15432030682889017,-0.2306517306614457,,,,,alpha117
1D,-0.04474344676028468,0.16825989018773085,-0.2659186732522144,-7.802798844979385,1.753282473404671e-14,0.13539793845465548,-0.17327950018549343,alpha118
1D,0.005957322480762979,0.12612211998411513,0.047234557122202626,1.3681724092011176,0.17162483955389468,0.011597538656232247,0.3662586478901426,alpha119
1D,0.003326287131884731,0.16118709766248704,0.020636187263882073,0.6121682430633001,0.5405847660990191,0.06566040676835229,0.03512626013587017,alpha120
1D,0.006795822489280984,0.14545942563532552,0.04671971210939929,,,,,alpha121
1D,-0.0011111996197154504,0.1202093104209742,-0.009243873172751913,-0.27406174321604604,0.7841016362209594,-0.007548576039393044,0.24347797954583994,alpha122
1D,-0.017350628139425946,0.14306318715511546,-0.12127947436690073,-3.5358739043276093,0.0004284279146859342,-0.07747421812962477,0.26628297011930524,alpha124
1D,0.01335814777004917,0.13034909726692398,0.10247978735667694,2.9789730210402916,0.0029750181861119464,-0.018738946013011508,-0.268793064463992,alpha125
1D,0.015652331275139843,0.1563126649226502,0.10013476056393286,2.970477039199701,0.003054287758893088,0.04988902151999825,-0.3182991723275834,alpha126
1D,-0.02336272698557888,0.2501794931607417,-0.09338386088490555,-2.735366157664427,0.006359834943078608,0.011885522582310506,-0.3535647512724678,alpha127
1D,-0.03774260017469645,0.14583799308215714,-0.25879813193420964,-7.6202757280374,6.638859195473838e-14,0.04218011116143173,-0.24874660212317634,alpha128
1D,0.015096769898319085,0.14236145789860458,0.10604534486484114,3.126090142743834,0.001830441544557044,0.003968536006734206,-0.2204332261344537,alpha129
1D,0.015876410231579735,0.13737649842981786,0.11556860462337805,3.395042908311353,0.0007175218389975363,0.010313098868111539,0.2730348168894188,alpha130
1D,-0.017050637324280856,0.1324315125428462,-0.12875060472305924,-3.7448502788768776,0.00019273833323148206,-0.07127433838129803,0.10975747868720287,alpha131
1D,-0.030138256575932713,0.15627795771290243,-0.19285033549836617,-5.658769114169411,2.07648065522668e-08,0.04395391637204949,-0.1961166050773846,alpha132
1D,-0.019325117657965664,0.1459093749144483,-0.13244603144449524,,,,,alpha133
1D,-0.01991284235538166,0.16638849208489223,-0.11967680039567899,-3.525898712095707,0.0004441715060643786,0.07135891321311931,-0.0362196013242162,alpha134
1D,-0.013922496171526695,0.2240107040164538,-0.06215103082977711,-1.8215660278788017,0.06886893744829303,0.11981204209042606,-0.3025948212528746,alpha135
1D,0.016607334492535854,0.1387550611899596,0.11968813497764917,3.5323211135182424,0.00043359554665906746,-0.04658863805243345,0.4153024478210452,alpha136
1D,-0.0035107617581154513,0.15221376593259933,-0.023064679706236466,-0.6672831480033182,0.5047754286684545,-0.1598343630233675,0.03474650694778436,alpha138
1D,0.014058848880717989,0.13241403886789507,0.106173401256524,3.1334647082812306,0.0017854356669395998,-0.07158577506618416,0.3157451004505951,alpha139
1D,0.0433957676766196,0.14706757283988633,0.295073664701497,,,,,alpha140
1D,0.00915567760678336,0.10308792757139013,0.0888142561644078,,,,,alpha141
1D,0.025582291255159127,0.14843443711495788,0.17234741312318538,5.045395089027974,5.527972830440848e-07,0.13815136190495703,0.28268366955270485,alpha142
1D,0.01279732117872766,0.15063040017046486,0.08495842249801656,2.492918127302947,0.012856882413394348,-0.03678402545316393,0.10596779487698038,alpha144
1D,-0.019820169255874303,0.13743508093142406,-0.1442147748707913,-4.216895256445576,2.7412356572078973e-05,0.04111191117889983,0.006248670998652894,alpha145
1D,-0.006458705464015928,0.1522826149550317,-0.04241262514386919,-1.2437823216186799,0.21391899966556321,-0.12229259606096239,0.7253789092626737,alpha146
1D,-0.013410304215435168,0.14069664282073685,-0.0953136048350591,-2.7918915170165484,0.00535669463836242,-0.021732532487512116,-0.24441644820623099,alpha147
